Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0099133,5.3328E-10,0.10063,0,0,0,5.1252,0.043723,-5.0374E-11,1.7224E-06,0.10352,3.3453E-10,0.12881,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/base_link.STL,,ChassisAssy_wExtension_2.11.2026-1;EVA2_BottomPlate_in-1;TIM781S_LiDARModuleMount-1;EVA2_ChassisSidePlate_Isogrid-1;EVA2_ChassisSidePlate_Isogrid-2;DiffBar_ChassisMount_rev2_v1-1;SuspensionAxle_ChassisRev2-1,global_coordinate_system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
suspension_arm1,-0.027666,-0.00020215,-0.045647,0,0,0,6.5506,0.0069186,1.9465E-06,-0.00023942,0.07249,-1.4264E-07,0.07448,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/suspension_arm1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/suspension_arm1.STL,,HexSuspension_ChassisAssy_v3-3;DualLinkedMSS_assy_rev2_v1-2/AK70_SuspensionnMotorHousing_DiffMount_rev2_v1-1;91854A104_Aluminum_HexNut-3;6516K128_ConnectingRod_75mm-4;91854A104_Aluminum_HexNut-4;DualLinkedMSS_assy_rev2_v1-2/AK70_Housing_SteerDrive_rev2_v1-1;DualLinkedMSS_assy_rev2_v1-6/AK70_Housing_SteerDrive_rev2_v1-1;DualLinkedMSS_assy_rev2_v1-6/AK70_SuspensionnMotorHousing_rev2_v1-1;DualLinkedMSS_assy_rev2_v1-6/AK70-10_MD80-V3.0-1;DualLinkedMSS_assy_rev2_v1-2/AK70-10_MD80-V3.0-1;59935K38_BallJoint_RodEnd-4/59935K83_Ball_Socket-1,suspension_arm1_coordinate_system,axle_suspension_axis,axle_suspension1_joint,revolute,0,0.25221,0.1325,0,0,0,base_link,0,-1,0,0,0,-3.1416,3.1416,,,,,,,,
crab_steer_assy1,-3.0486E-07,0.00028285,-0.14196,0,0,0,7.336,0.021436,9.9779E-07,1.0082E-07,0.01885,-0.0019102,0.010984,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/crab_steer_assy1.STL,1,1,1,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/crab_steer_assy1.STL,,DualLinkedMSS_assy_rev2_v1-6/AK70_MotorDrivenConnection_rev2_v1-1;DualLinkedMSS_assy_rev2_v1-6/CrabArmConnection2.2_v4-1;DualLinkedMSS_assy_rev2_v1-6/CrabArmConnection2.2_detatch_v3-1;DualLinkedMSS_assy_rev2_v1-6/HexWheel_MotorAK10_arm2.2-1;DualLinkedMSS_assy_rev2_v1-6/SideSupportBB_Cap_extended-1;DualLinkedMSS_assy_rev2_v1-6/5972K312_Ball Bearing-2;DualLinkedMSS_assy_rev2_v1-6/SideSupportBB_CarbArm2.2_v3-1;DualLinkedMSS_assy_rev2_v1-6/5972K312_Ball Bearing-1;DualLinkedMSS_assy_rev2_v1-6/AK10-9_KV60_MD80_3.0-1,crab_steer1_coordinate_system,crab_steer1_axis,crab_steer_joint1,revolute,0.44154,-8.6603E-05,-0.097654,0,0,0,suspension_arm1,0,0,-1,24.8,25.133,-3.1416,3.1416,,,0.05,0.48,,,,
drive_hex_wheel1,-1.1795E-07,-0.033892,-1.3194E-07,0,0,0,5.5281,0.024781,-8.0351E-08,9.8035E-09,0.037119,-1.3538E-07,0.024781,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/drive_hex_wheel1.STL,1,1,1,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/drive_hex_wheel1.STL,,DualLinkedMSS_assy_rev2_v1-6/HexWheel_CurvedGrousers_rig2_z5_v3-1,drive_actuator1_coordinate_system,drive_actuator1_axis,drive_act_joint1,revolute,0,0.03535,-0.23146,0,0,0,crab_steer_assy1,0,1,0,53,16.7552,-3.1416,3.1416,,,0.05,0.8,,,,
crab_steer_assy2,-3.0719131410839E-07,0.000282848562774718,-0.141958713105033,0,0,0,7.33599962756682,0.0214355158594136,9.97794165202934E-07,1.00973547076332E-07,0.0188504698946929,-0.00191018147848548,0.0109835157397389,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/crab_steer_assy2.STL,1,1,1,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/crab_steer_assy2.STL,,DualLinkedMSS_assy_rev2_v1-2/AK70_MotorDrivenConnection_rev2_v1-1;DualLinkedMSS_assy_rev2_v1-2/CrabArmConnection2.2_detatch_v3-1;DualLinkedMSS_assy_rev2_v1-2/CrabArmConnection2.2_v4-1;DualLinkedMSS_assy_rev2_v1-2/SideSupportBB_CarbArm2.2_v3-1;DualLinkedMSS_assy_rev2_v1-2/SideSupportBB_Cap_extended-1;DualLinkedMSS_assy_rev2_v1-2/5972K312_Ball Bearing-2;DualLinkedMSS_assy_rev2_v1-2/5972K312_Ball Bearing-1;DualLinkedMSS_assy_rev2_v1-2/HexWheel_MotorAK10_arm2.2-1;DualLinkedMSS_assy_rev2_v1-2/AK10-9_KV60_MD80_3.0-1,crab_steer2_coordinate_system,crab_steer2_axis,crab_steer_joint2,revolute,-0.44154,-8.6602E-05,-0.097646,0,0,0,suspension_arm1,0,0,-1,0,0,0,0,,,,,,,,
drive_hex_wheel2,1.29261894077359E-07,-0.0318919942033298,-1.20872771125491E-07,0,0,0,5.52809200361435,0.0247806555065827,1.33543234608899E-07,-9.69918329210705E-09,0.037118714202296,-8.33619548877736E-08,0.0247806606009008,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/drive_hex_wheel2.STL,1,1,1,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/drive_hex_wheel2.STL,,DualLinkedMSS_assy_rev2_v1-2/HexWheel_CurvedGrousers_rig2_z5_v3-1,drive_actuator2_coordinate_system,drive_actuator2_axis,drive_act_joint2,revolute,0,0.03335,-0.23146,0,0,0,crab_steer_assy2,0,1,0,0,0,0,0,,,,,,,,
suspension_arm2,-0.027626,0.00015029,-0.045647,0,0,0,6.5506,0.0069186,1.9465E-06,-0.00023707,0.07249,1.407E-07,0.07448,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/suspension_arm2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/suspension_arm2.STL,,HexSuspension_ChassisAssy_v3-1;DualLinkedMSS_assy_rev2_v1-4/AK70_SuspensionnMotorHousing_DiffMount_rev2_v1-1;DualLinkedMSS_assy_rev2_v1-5/AK70_SuspensionnMotorHousing_rev2_v1-1;DualLinkedMSS_assy_rev2_v1-5/AK70_Housing_SteerDrive_rev2_v1-1;DualLinkedMSS_assy_rev2_v1-4/AK70_Housing_SteerDrive_rev2_v1-1;91854A104_Aluminum_HexNut-1;6516K128_ConnectingRod_75mm-3;91854A104_Aluminum_HexNut-2;DualLinkedMSS_assy_rev2_v1-4/AK70-10_MD80-V3.0-1;DualLinkedMSS_assy_rev2_v1-5/AK70-10_MD80-V3.0-1;59935K38_BallJoint_RodEnd-3/59935K83_Ball_Socket-1,suspension_arm2_coordinate_system,axle_suspension_axis,axle_suspension2_joint,revolute,0,-0.25221,0.1325,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
crab_steer_assy3,-2.3057E-06,-0.00028285,-0.14196,0,0,0,7.336,0.021436,1.0329E-06,-2.9313E-07,0.01885,0.0019102,0.010984,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/crab_steer_assy3.STL,1,1,1,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/crab_steer_assy3.STL,,DualLinkedMSS_assy_rev2_v1-4/AK70_MotorDrivenConnection_rev2_v1-1;DualLinkedMSS_assy_rev2_v1-4/CrabArmConnection2.2_detatch_v3-1;DualLinkedMSS_assy_rev2_v1-4/CrabArmConnection2.2_v4-1;DualLinkedMSS_assy_rev2_v1-4/SideSupportBB_CarbArm2.2_v3-1;DualLinkedMSS_assy_rev2_v1-4/SideSupportBB_Cap_extended-1;DualLinkedMSS_assy_rev2_v1-4/5972K312_Ball Bearing-2;DualLinkedMSS_assy_rev2_v1-4/5972K312_Ball Bearing-1;DualLinkedMSS_assy_rev2_v1-4/HexWheel_MotorAK10_arm2.2-1;DualLinkedMSS_assy_rev2_v1-4/AK10-9_KV60_MD80_3.0-1,crab_steer3_coordinate_system,crab_steer3_axis,crab_steer_joint3,revolute,-0.44154,8.6601E-05,-0.097646,0,0,0,suspension_arm2,0,0,-1,0,0,0,0,,,,,,,,
drive_hex_wheel3,-1.2926E-07,0.033892,-1.2087E-07,0,0,0,5.5281,0.024781,1.3354E-07,9.6993E-09,0.037119,8.3359E-08,0.024781,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/drive_hex_wheel3.STL,1,1,1,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/drive_hex_wheel3.STL,,DualLinkedMSS_assy_rev2_v1-4/HexWheel_CurvedGrousers_rig2_z5_v3-1,drive_actuator3_coordinate_system,drive_actuator3_axis,drive_act_joint3,revolute,0,-0.03535,-0.23146,0,0,0,crab_steer_assy3,0,-1,0,0,0,0,0,,,,,,,,
crab_steer_assy4,-2.3050013717163E-06,-0.000282849251066475,-0.141958713272035,0,0,0,7.33599961716569,0.0214355158064923,1.03291244213142E-06,-2.93012834555163E-07,0.0188504698548001,0.00191018146416809,0.0109835157500319,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/crab_steer_assy4.STL,1,1,1,1,0,0,0,0,0,0,package://eva_models/revonic_eva2/meshes/crab_steer_assy4.STL,,DualLinkedMSS_assy_rev2_v1-5/AK70_MotorDrivenConnection_rev2_v1-1;DualLinkedMSS_assy_rev2_v1-5/CrabArmConnection2.2_detatch_v3-1;DualLinkedMSS_assy_rev2_v1-5/CrabArmConnection2.2_v4-1;DualLinkedMSS_assy_rev2_v1-5/SideSupportBB_CarbArm2.2_v3-1;DualLinkedMSS_assy_rev2_v1-5/SideSupportBB_Cap_extended-1;DualLinkedMSS_assy_rev2_v1-5/5972K312_Ball Bearing-2;DualLinkedMSS_assy_rev2_v1-5/5972K312_Ball Bearing-1;DualLinkedMSS_assy_rev2_v1-5/HexWheel_MotorAK10_arm2.2-1;DualLinkedMSS_assy_rev2_v1-5/AK10-9_KV60_MD80_3.0-1,crab_steer4_coordinate_system,crab_steer4_axis,crab_steer_joint4,revolute,0.44154,-8.6602E-05,-0.097654,0,0,0,suspension_arm2,0,0,-1,0,0,0,0,,,,,,,,
